Type,Asset,Code,Exchange,Snapshot Price,Day Change,Day Change %,Day High,Day Low,Volume,52W High,52W Low,Market Cap/Assets/Debt,Sales Growth,Profit Growth,P/E or P/B,Remark/Moat/Management,Final Remark,1M %,1Y %,3Y %,5Y %,10Y %,Source Sheet
STOCK,Reliance Industries Ltd,RELIANCE,NSE,1314.0,0.8,0.06,1316.0,1308.0,5434871.0,1611.8,1249.8,1777655.412,"10%, -2%, 16%, 8%","10%, 12%, 11%, 9%",23.8,"Scale, Ecosystem, Cost Advantage",,0.7900590626999999,-7.776530039,4.285714286,21.533879650000003,424.3625045,Stocks
STOCK,Tata Consultancy Services Ltd,TCS,NSE,2295.0,-3.0,-0.13,2307.2,2263.3,2066749.0,3350.0,1976.8,831559.3356,"8%, 6%, 10%, 9%","10%, 8%, 9%, 11%",16.67,"Switching Costs, Brand Reputation, Scale",,3.327180226,-26.029781470000003,-32.53274146,-36.90548194,80.09181151,Stocks
STOCK,Infosys Ltd,INFY,NSE,1119.0,-11.0,-0.97,1133.5,1118.0,6094967.0,1728.0,982.4,4878.066875,11% (10Y),10% (10Y),15.12,"Switching Costs, Brand Reputation",,4.2384722870000004,-25.220529270000004,-20.378539919999998,-35.643422,120.3927284,Stocks
STOCK,HDFC Bank Ltd,HDFCBANK,NSE,729.0,3.95,0.54,732.8,726.6,26029811.0,1020.5,715.1,11804.39117,16.3% (10Y Median),18.9% (5Y),14.24,"Low-Cost CASA, Scale, Switching Costs",,-4.261606146,-26.777822420000003,-8.273041837000001,-4.368358914,133.2202956,Stocks
STOCK,Refex Industries Ltd,REFEX,NSE,294.0,0.4,0.14,296.3,293.05,133646.0,415.0,188.0,4034.25036,"29%, 40% (5Y, 10Y)","25%, 35% (5Y, 10Y)",15.33,"Niche Operations, Limited Moat",,-3.8587311970000004,-21.33779264,106.3447501,1013.2146909999999,10788.88889,Stocks
STOCK,Dmart,DMART,NSE,3909.9,-50.1,-1.27,3990.0,3866.4,417784.0,4949.5,3529.0,254293.847,25.3% (10Y Median),20% (5Y),83.36,"Cost Advantage (EDLP), Scale",,-1.6525807430000001,-16.66702189,10.20943146,6.428036747,,Stocks
ETF,GoldBees,GOLDBEES,NSE,131.42,2.54,1.97,131.93,129.82,46291317.0,148.14,80.02,#N/A,N/A,N/A,#N/A,N/A,,11.62830205,59.20048455,164.5330113,220.45842480000002,360.3152364,Stocks
STOCK,ITC,ITC,NSE,269.55,-2.1,-0.77,271.6,269.0,8312928.0,427.0,265.0,337641.7343,9.87% (5Y),10% (5Y),17.02,"Strong Brands, Distribution Network, Monopoly-like Cigarette Business",,-4.074733096,-33.534705949999996,-39.80571684,30.65923413,6.0802833530000004,Stocks
ETF,Junior Bees,JUNIORBEES,NSE,802.15,-0.96,-0.12,805.39,799.09,277039.0,823.97,632.34,#N/A,N/A,N/A,#N/A,N/A,,2.258965108,9.928737837,72.07611121000001,95.05641475,250.23796009999998,Stocks
ETF,Mafang,MAFANG,NSE,206.78,1.38,0.67,206.78,206.78,71981.0,211.42,149.74,#N/A,N/A,N/A,#N/A,N/A,,6.166247369,32.3392,240.15463069999998,301.7485914,,Stocks
ETF,Mon100,MON100,NSE,330.51,-0.48,-0.15,330.51,330.0,346898.0,342.55,200.21,#N/A,N/A,N/A,#N/A,N/A,,2.385304049,63.50549124,175.6317238,197.247954,1000.966023,Stocks
ETF,Niftbees,NIFTYBEES,NSE,276.84,0.27,0.1,277.38,276.12,4364104.0,302.25,251.7,#N/A,N/A,N/A,#N/A,N/A,,0.6215243703,-2.197413976,29.66744731,55.44076362,215.2716092,Stocks
STOCK,Pidilight,PIDILITIND,NSE,1645.0,-15.0,-0.9,1664.4,1644.1,732973.0,1707.5,1259.0,83711.14618,"11%, 7%, 15%, 11%","15%, 10%, 14%, 12%",63.35,"Strong Brand (Fevicol), Unmatched Distribution",,3.374599384,6.85287431,32.30066432,47.71247699,366.07168149999995,Stocks
STOCK,Tatapower,TATAPOWER,NSE,375.0,-0.25,-0.07,377.75,373.05,4141292.0,464.9,342.5,119777.2844,8% (10Y),11% (5Y),31.07,"Regulated Returns, Integrated Power Ecosystem",,-1.690916241,-3.3629686899999998,56.6743263,200.120048,386.69695,Stocks
STOCK,titan,TITAN,NSE,5079.9,11.9,0.23,5090.4,5011.0,352381.0,5168.0,3303.1,450745.7666,"41%, 27%, 30%, 21%","30%, 25%, 20%, 15%",78.3,"Strong Brand Trust (Tanishq), Distribution Network",,8.343464073,40.47230595,65.02290225,171.6015719,1160.677503,Stocks
STOCK,unitdspr,UNITDSPR,NSE,1556.0,12.0,0.78,1563.4,1527.0,831704.0,1563.4,1210.8,113047.2716,"9%, 4% (5Y, 10Y)",34.5% (5Y),#N/A,"Strong Brands, Regulatory Barriers to Entry",,11.8780558,16.37995512,,,,Stocks
MF,HDFC Small Cap Fund - Direct Plan - Growth Option,130503,,161.266,,,,,,,,,,,,ISIN INF179KA1RW5,NAV date 2026-08-20,,,,,,Mutual Funds
